0 0dele
1 1lf
2 2ristotle
3 3ttenborough
4 Abigail Adams
5 Adam Arkin
6 Alan Alda
7 Alan Arkin
8 Alan Autry
9 Alvin Ailey
10 Amedeo Avogadro
11 Amy Adams
12 Andre Agasi
13 Andre Agassi
14 Anouk Aim�e
15 Ansel Adams
16 Army Archerd
17 Art Alexakis
18 Arthur Ashe
19 Ashley Angel
20 Aaron Burr
21 Abigail Breslin
22 Abigail Van Buren
23 Adam Brody
24 Adrien Brody
25 Adrienne Barbeau
26 Alan Bates
27 Alan Beckwith
28 Albert Brooks
29 Alec Baldwin
30 Alex Baldwin
31 Alexander Graham Bell
32 Alexis Bledel
33 Amanda Bynes
34 Ambrose Bierce
35 Amy Brenneman
36 Andrea Bocelli
37 Angela Bassett
38 Anita Bryant
39 Ann Blyth
40 Anne Bancroft
41 Anne Bronte
42 Annette Bening
43 Anthony Burgess
44 Antonio Banderas
45 Art Bell
46 Art Blakey
47 Art Buchwald
48 Aubrey Beardsley
49 August Anheuser Busch
50 Aaron Copland
51 Adam Carolla
52 Agatha Christie
53 Al Capone
54 Al Capp
55 Alexander Calder
56 Alice Cooper
57 Alistair Cooke
58 Angela Cartwright
59 Anton Chekhov
60 Art Carney
61 Arthur C. Clarke
62 Augustus Caesar
63 Abner Doubleday
64 Adam Duritz
65 Adelle Davis
66 Alberto Santos Dumont
67 Alexandre Dumas
68 Andrea Dromm
69 Andy Devine
70 Angela Davis
71 Angie Dickinson
72 Ann B. Davis
73 Annie Duke
74 Arlene Dahl
75 Abby Elliott
76 Albert Einstein
77 Amelia Earhart
78 Anita Ekberg
79 A.J. Foyt
80 Ace Frehley
81 Agnetha F�ltskog
82 Albert Finney
83 Alice Faye
84 Allen Funt
85 America Ferrera
86 Anne Frank
87 Annette Funicello
88 Anthony Franciosa
89 Aretha Franklin
90 Arthur Fiedler
91 Al Gore
92 Al Green
93 Alan Greenspan
94 Alec Guinness
95 Alexander Godunov
96 Alexander the Great
97 Allen Ginsberg
98 Allen Greenspan
99 Amy Grant
100 Andre the Giant
101 Andrew Greeley
102 Andy Garcia
103 Andy Gibb
104 Andy Griffith
105 Anthony Geary
106 Anthony Glise
107 Art Garfunkel
108 Arthur Godfrey
109 Arye Gross
110 Astrud Gilberto
111 Ava Gardner
112 Abbie Hoffman
113 Adolf Hitler
114 Al Hirschfeld
115 Al Hirt
116 Aldous Huxley
117 Alex Haley
118 Alex Harvey
119 Alexander Hamilton
120 Alfred Hitchcock
121 Alger Hiss
122 Anjelica Huston
123 Anthony Hopkins
124 Arsenio Hall
125 Audrey Hepburn
126 Aga Khan IV
127 Allen Iverson
128 Amy Irving
129 Agnelina Jolie
130 Al Jarreau
131 Al Jolson
132 Alan Jackson
133 Amy Jo Johnson
134 Andrew Jackson
135 Andrew Johnson
136 Ann Jillian
137 Anne Jeffreys
138 Arte Johnson
139 Ashley Judd
140 Akira Kurosawa
141 Al Kaline
142 Alan King
143 Albert King
144 Alex Karras
145 Alfred Kinsey
146 Alicia Keys
147 Andy Kaufman
148 Arthur Kennedy
149 Ashton Kutcher
150 Abraham Lincoln
151 Alan Jay Lerner
152 Alan Ladd
153 Alex Lifeson
154 Allen Ludden
155 Alvin Lee
156 Amy Locane
157 Amy Lowell
158 Angela Lansbury
159 Ann Landers
160 Annie Leibovitz
161 Annie Lennox
162 Art Linkletter
163 Avril Lavigne
164 A.A. Milne
165 Abraham Maslow
166 Agnes Moorehead
167 Al Michaels
168 Ali MacGraw
169 Amadeus Mozart
170 Andie Macdowell
171 Andre Michelin
172 Ann Margret
173 Ann Miller
174 Anne McCaffrey
175 Anne Meara
176 Anne Murray
177 Archie Moore
178 Ari Meyers
179 Arthur Miller
180 Arthur Murray
181 Audie Murphy
182 Audrey Meadows
183 Aaron Neville
184 Alfred Nobel
185 Ana�s Nin
186 Anthony Newley
187 Anita ODay
188 Annie Oakley
189 Aristotle Onassis
190 Ashley Olsen
191 Adrian Paul
192 Al Pacino
193 Alain Prost
194 Albert Pujols
195 Alex Pettyfer
196 Amy Poehler
197 Andre Previn
198 Anthony Perkins
199 Arnold Palmer
200 Arthur Penn
201 Audrina Patridge
202 Austin Peck
203 Aidan Quinn
204 Anthony Quinn
205 Al Roker
206 Alan Rickman
207 Alan Ruck
208 Alex Rodriguez
209 Alfonso Ribeiro
210 Am�lia Rodrigues
211 Andy Roddick
212 Andy Rooney
213 Anika Noni Rose
214 Anne Rice
215 Anne Robinson
216 Arthur Rimbaud
217 Arthur Rubenstein
218 Auguste Rodin
219 Axl Rose
220 Ayn Rand
221 Aaron Spelling
222 Adam Sandler
223 Alan Shepard
224 Albert Schweitzer
225 Alberto Santos-Dumont
226 Aleksandr Solzhenitsyn
227 Alicia Silverstone
228 Ally Sheedy
229 Alyson Stoner
230 Amy Smart
231 Andres Segovia
232 Andrew Shue
233 Andy Summers
234 Ann Sothern
235 Anna Nicole Smith
236 Anwar Sadat
237 Ariel Sharon
238 Arion Salazar
239 Arnold Schwartineger
240 Arnold Stang
241 Arthur Sullivan
242 Artie Shaw
243 Ashley Simpson
244 Avery Schreiber
245 Ayrton Senna da Silva
246 Aida Turturro
247 Aisha Tyler
248 Alan Thicke
249 Alan Trammell
250 Alan Turing
251 Alex Trebek
252 Alexandre Tansman
253 Alvin Toffler
254 Amanda Tapping
255 Anthony Trollope
256 Arthur Treacher
257 Arturo Toscanini
258 Ashley Tisdale
259 Al Unser
260 Abe Vigoda
261 Alessandro Volta
262 Alexa Vega
263 Amerigo Vespucci
264 Antonio Villaraigosa
265 Antonio Vivaldi
266 Adam West
267 Alice Walker
268 Amy Winehouse
269 Andrew Lloyd Webber
270 Andrew Wyeth
271 Andy Warhol
272 Andy Williams
273 Adam Yauch
274 Al Yankovic
275 Al Yankovick
276 Andrew Young
277 Anthony Zerbe
278 278ach
279 279atman
280 280eck
281 281eethoven
282 282eyonce
283 283ono
284 284oone
285 285orat
286 286ranagh
287 287randy
288 Beatrice Arthur
289 Ben Affleck
290 Benedict Arnold
291 Benny Andersson
292 Bibi Andersson
293 Billie Joe Armstrong
294 Brooks Atkinson
295 Bryan Adams
296 Bud Abbott
297 Buzz Aldrin
298 Barbara Bach
299 Barbara Bush
300 Barry Bonds
301 Bear Bryant
302 Beau Bridges
303 Ben Blue
304 Ben Bradlee
